"d","model_path","sp_name","site_name_en","type","mod_desc_char"
"ae1_022022_1","data/outputs/ae1_022022_1","Acropora humilis","airport","competitive","This competitive coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_10","data/outputs/ae1_022022_10","Porites cylindrica","airport","weedy","This weedy coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_11","data/outputs/ae1_022022_11","Porites lutea","airport","stress-tolerant","This stress-tolerant coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_12","data/outputs/ae1_022022_12","Porites lutea","airport","stress-tolerant","This stress-tolerant coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_13","data/outputs/ae1_022022_13","Porites lutea","airport","stress-tolerant","This stress-tolerant coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_14","data/outputs/ae1_022022_14","Porites lutea","airport","stress-tolerant","This stress-tolerant coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_15","data/outputs/ae1_022022_15","Porites lutea","airport","stress-tolerant","This stress-tolerant coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_2","data/outputs/ae1_022022_2","Acropora humilis","airport","competitive","This competitive coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_4","data/outputs/ae1_022022_4","Acropora humilis","airport","competitive","This competitive coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_5","data/outputs/ae1_022022_5","Acropora humilis","airport","competitive","This competitive coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_6","data/outputs/ae1_022022_6","Porites cylindrica","airport","weedy","This weedy coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_8","data/outputs/ae1_022022_8","Porites cylindrica","airport","weedy","This weedy coral colony is monitored at the ""airport"" site of Mayotte"
"ae1_022022_9","data/outputs/ae1_022022_9","Porites nigrescens","airport","na","This na coral colony is monitored at the ""airport"" site of Mayotte"
"ib_022022_1","data/outputs/ib_022022_1","Acropora.Sp","ileblanche","competitive","This competitive coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_10","data/outputs/ib_022022_10","Porites cylindrica","ileblanche","weedy","This weedy coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_11","data/outputs/ib_022022_11","Platygyra daedalea","ileblanche","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_12","data/outputs/ib_022022_12","Platygyra daedalea","ileblanche","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_13","data/outputs/ib_022022_13","Platygyra daedalea","ileblanche","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_14","data/outputs/ib_022022_14","Platygyra daedalea","ileblanche","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_15","data/outputs/ib_022022_15","Platygyra daedalea","ileblanche","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_16","data/outputs/ib_022022_16","Echinopora lamellosa","ileblanche","na","This na coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_17","data/outputs/ib_022022_17","Echinopora lamellosa","ileblanche","na","This na coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_18","data/outputs/ib_022022_18","Echinopora lamellosa","ileblanche","na","This na coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_2","data/outputs/ib_022022_2","Acropora.Sp","ileblanche","competitive","This competitive coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_3","data/outputs/ib_022022_3","Acropora.Sp","ileblanche","competitive","This competitive coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_4","data/outputs/ib_022022_4","Acropora.Sp","ileblanche","competitive","This competitive coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_5","data/outputs/ib_022022_5","Acropora.Sp","ileblanche","competitive","This competitive coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_6","data/outputs/ib_022022_6","Porites cylindrica","ileblanche","weedy","This weedy coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_7","data/outputs/ib_022022_7","Porites cylindrica","ileblanche","weedy","This weedy coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_8","data/outputs/ib_022022_8","Porites cylindrica","ileblanche","weedy","This weedy coral colony is monitored at the ""ileblanche"" site of Mayotte"
"ib_022022_9","data/outputs/ib_022022_9","Porites cylindrica","ileblanche","weedy","This weedy coral colony is monitored at the ""ileblanche"" site of Mayotte"
"jr_022022_1","data/outputs/jr_022022_1","Acropora humilis","jollyroger","competitive","This competitive coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_10","data/outputs/jr_022022_10","Echinopora gemmacea","jollyroger","generalist","This generalist coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_11","data/outputs/jr_022022_11","Platygyra daedalea","jollyroger","stress-tolerant","This stress-tolerant coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_12","data/outputs/jr_022022_12","Platygyra daedalea","jollyroger","stress-tolerant","This stress-tolerant coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_13","data/outputs/jr_022022_13","Platygyra daedalea","jollyroger","stress-tolerant","This stress-tolerant coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_14","data/outputs/jr_022022_14","Favia.Sp","jollyroger","stress-tolerant","This stress-tolerant coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_15","data/outputs/jr_022022_15","Favia.Sp","jollyroger","stress-tolerant","This stress-tolerant coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_2","data/outputs/jr_022022_2","Acropora humilis","jollyroger","competitive","This competitive coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_3","data/outputs/jr_022022_3","Acropora humilis","jollyroger","competitive","This competitive coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_4","data/outputs/jr_022022_4","Acropora humilis","jollyroger","competitive","This competitive coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_5","data/outputs/jr_022022_5","Acropora humilis","jollyroger","competitive","This competitive coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_6","data/outputs/jr_022022_6","Echinopora gemmacea","jollyroger","generalist","This generalist coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_7","data/outputs/jr_022022_7","Echinopora gemmacea","jollyroger","generalist","This generalist coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_8","data/outputs/jr_022022_8","Echinopora gemmacea","jollyroger","generalist","This generalist coral colony is monitored at the ""jollyroger"" site of Mayotte"
"jr_022022_9","data/outputs/jr_022022_9","Echinopora gemmacea","jollyroger","generalist","This generalist coral colony is monitored at the ""jollyroger"" site of Mayotte"
"ng_022022_1","data/outputs/ng_022022_1","Isopora palifera","ngouja","na","This na coral colony is monitored at the ""ngouja"" site of Mayotte"
"ng_022022_10","data/outputs/ng_022022_10","Porites nigrescens","ngouja","na","This na coral colony is monitored at the ""ngouja"" site of Mayotte"
"ng_022022_11","data/outputs/ng_022022_11","Porites lutea","ngouja","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ngouja"" site of Mayotte"
"ng_022022_12","data/outputs/ng_022022_12","Porites lutea","ngouja","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ngouja"" site of Mayotte"
"ng_022022_13","data/outputs/ng_022022_13","Porites lutea","ngouja","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ngouja"" site of Mayotte"
"ng_022022_14","data/outputs/ng_022022_14","Porites lutea","ngouja","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ngouja"" site of Mayotte"
"ng_022022_15","data/outputs/ng_022022_15","Porites lutea","ngouja","stress-tolerant","This stress-tolerant coral colony is monitored at the ""ngouja"" site of Mayotte"
